Date,Open,High,Low,Close,Adj Close,Volume
2009-12-14,15.365385,15.451923,14.951923,14.990385,10.816225,356844300
2009-12-21,15.086538,15.182693,14.721154,14.846154,10.712156,168709800
2009-12-28,14.788462,14.932693,14.548077,14.548077,10.568080,190958400
2010-01-04,14.634615,16.048077,14.567307,15.961538,11.594853,507187500
2010-01-11,16.182692,16.269230,15.721154,15.807693,11.483093,351634600
2010-01-18,15.721154,16.115385,15.336538,15.490385,11.252597,402502700
2010-01-25,15.826923,16.057692,15.394231,15.461538,11.231638,405935400
2010-02-01,15.576923,16.375000,14.663462,15.182693,11.029081,516953300
2010-02-08,15.221154,15.278846,14.759615,14.951923,10.861445,395038000
2010-02-15,15.096154,15.663462,15.076923,15.548077,11.294503,252235200
2010-02-22,15.605769,15.711538,15.105769,15.442307,11.217672,300496100
2010-03-01,15.480769,15.740385,15.221154,15.721154,11.494389,323980200
2010-03-08,15.740385,16.403847,15.615385,16.384615,11.979474,398306200
2010-03-15,16.365385,17.692308,16.288462,17.375000,12.703588,738747300
2010-03-22,17.173077,18.211538,17.115385,17.634615,12.893401,497963100
2010-03-29,17.807692,17.846153,17.432692,17.625000,12.886369,251451200
2010-04-05,17.711538,18.028847,17.548077,17.807692,13.019947,297082000
2010-04-12,17.846153,18.932692,17.826923,18.240385,13.336307,542611100
2010-04-19,17.923077,18.461538,17.894230,18.336538,13.406603,338053900
2010-04-26,18.451923,18.942308,17.875000,18.134615,13.258970,460249900
2010-05-03,18.240385,18.596153,14.567307,16.230770,11.866991,633224400
2010-05-10,17.346153,17.788462,16.740385,16.961538,12.401284,455115400
2010-05-17,16.932692,17.182692,15.048077,15.788462,11.543602,617761700
2010-05-24,15.692307,16.048077,14.663462,15.721154,11.494389,436949400
2010-05-31,15.615385,15.875000,14.961538,15.105769,11.044456,314323400
2010-06-07,15.125000,15.259615,14.471154,14.961538,10.939002,394070400
2010-06-14,15.163462,15.471154,14.759615,15.336538,11.213181,372154100
2010-06-21,15.586538,15.817307,14.250000,14.336538,10.551271,482879300
2010-06-28,14.384615,14.625000,13.221154,13.346154,9.822381,460242900
2010-07-05,13.567307,14.586538,13.278846,14.375000,10.579577,315523000
2010-07-12,14.326923,14.759615,13.942307,13.990385,10.296515,360589600
2010-07-19,14.076923,15.240385,13.807693,15.105769,11.117401,372746700
2010-07-26,15.298077,15.932693,15.096154,15.500000,11.407547,346617000
2010-08-02,15.692307,15.903846,15.471154,15.817307,11.641073,285147300
2010-08-09,15.788462,15.826923,14.750000,14.788462,10.883875,281021900
2010-08-16,14.701923,15.134615,14.317307,14.451923,10.636190,319675500
2010-08-23,14.634615,14.682693,13.701923,14.144231,10.409738,339859900
2010-08-30,14.105769,14.961538,13.759615,14.798077,10.890951,304330300
2010-09-06,14.692307,15.461538,14.625000,15.365385,11.308471,247082800
2010-09-13,15.567307,15.836538,15.355769,15.663462,11.527847,304302600
2010-09-20,15.644231,16.057692,15.432693,16.019230,11.880423,297332300
2010-09-27,16.009615,16.048077,15.519231,15.730769,11.666489,255844900
2010-10-04,15.682693,16.625000,15.384615,16.461538,12.208454,304297100
2010-10-11,16.576923,16.817308,15.528846,15.673077,11.623702,458538600
2010-10-18,15.682693,15.740385,15.269231,15.442307,11.452557,314121500
2010-10-25,15.634615,15.692307,15.365385,15.403846,11.424033,245497500
2010-11-01,15.471154,16.211538,15.269231,16.086538,11.930340,339237300
2010-11-08,15.980769,16.192308,15.490385,15.625000,11.588046,252075300
2010-11-15,15.605769,15.798077,15.153846,15.596154,11.566653,258735900
2010-11-22,15.519231,15.519231,15.028846,15.192307,11.267146,188760000
2010-11-29,15.125000,16.153847,15.076923,16.134615,11.965995,322800700
2010-12-06,16.057692,17.192308,15.990385,17.038462,12.636320,382478600
2010-12-13,17.201923,17.211538,16.701923,17.019230,12.622059,347524000
2010-12-20,17.086538,17.451923,16.971153,17.346153,12.864512,162574600
2010-12-27,17.230770,17.778847,17.230770,17.586538,13.149755,178443000
2011-01-03,17.778847,18.000000,17.423077,17.721153,13.250409,291352600
2011-01-10,17.894230,18.115385,17.750000,18.096153,13.530805,268155300
2011-01-17,18.250000,19.201923,17.471153,18.980770,14.192246,467489300
2011-01-24,19.163462,19.942308,18.980770,19.423077,14.522965,454811000
2011-01-31,19.355770,20.153847,19.326923,19.769230,14.781792,256391000
2011-02-07,19.971153,20.615385,19.932692,20.509615,15.335390,262344800
2011-02-14,20.682692,20.817308,20.423077,20.615385,15.414468,212340800
2011-02-21,20.076923,20.394230,19.307692,20.019230,14.968720,279217100
2011-02-28,20.144230,20.355770,19.384615,19.586538,14.750623,271557100
2011-03-07,19.615385,19.990385,19.173077,19.576923,14.743380,315471500
2011-03-14,19.192308,19.317308,17.884615,18.509615,13.939590,541069200
2011-03-21,18.923077,19.163462,18.509615,18.990385,14.301660,236759800
2011-03-28,19.048077,19.711538,18.778847,19.557692,14.728897,216088200
2011-04-04,19.932692,19.951923,19.298077,19.413462,14.620280,248061000
2011-04-11,19.461538,19.586538,18.846153,19.269230,14.511655,220708000
